ISO3166-1-Alpha-3,Capital,Continent,TLD,Languages,Geoname ID
AND,Andorra la Vella,EU,.ad,ca,3041565
ARE,Abu Dhabi,AS,.ae,"ar-AE,fa,en,hi,ur",290557
AFG,Kabul,AS,.af,"fa-AF,ps,uz-AF,tk",1149361
ATG,St. John's,NA,.ag,en-AG,3576396
AIA,The Valley,NA,.ai,en-AI,3573511
ALB,Tirana,EU,.al,"sq,el",783754
ARM,Yerevan,AS,.am,hy,174982
AGO,Luanda,AF,.ao,pt-AO,3351879
ATA,,AN,.aq,,6697173
ARG,Buenos Aires,SA,.ar,"es-AR,en,it,de,fr,gn",3865483
ASM,Pago Pago,OC,.as,"en-AS,sm,to",5880801
AUT,Vienna,EU,.at,"de-AT,hr,hu,sl",2782113
AUS,Canberra,OC,.au,en-AU,2077456
ABW,Oranjestad,NA,.aw,"nl-AW,pap,es,en",3577279
ALA,Mariehamn,EU,.ax,sv-AX,661882
AZE,Baku,AS,.az,"az,ru,hy",587116
BIH,Sarajevo,EU,.ba,"bs,hr-BA,sr-BA",3277605
BRB,Bridgetown,NA,.bb,en-BB,3374084
BGD,Dhaka,AS,.bd,"bn-BD,en",1210997
BEL,Brussels,EU,.be,"nl-BE,fr-BE,de-BE",2802361
BFA,Ouagadougou,AF,.bf,"fr-BF,mos",2361809
BGR,Sofia,EU,.bg,"bg,tr-BG,rom",732800
BHR,Manama,AS,.bh,"ar-BH,en,fa,ur",290291
BDI,Gitega,AF,.bi,"fr-BI,rn",433561
BEN,Porto-Novo,AF,.bj,fr-BJ,2395170
BLM,Gustavia,NA,.gp,fr,3578476
BMU,Hamilton,NA,.bm,"en-BM,pt",3573345
BRN,Bandar Seri Begawan,AS,.bn,"ms-BN,en-BN",1820814
BOL,Sucre,SA,.bo,"es-BO,qu,ay",3923057
BES,,NA,.bq,"nl,pap,en",7626844
BRA,Brasilia,SA,.br,"pt-BR,es,en,fr",3469034
BHS,Nassau,NA,.bs,en-BS,3572887
BTN,Thimphu,AS,.bt,dz,1252634
BVT,,AN,.bv,,3371123
BWA,Gaborone,AF,.bw,"en-BW,tn-BW",933860
BLR,Minsk,EU,.by,"be,ru",630336
BLZ,Belmopan,NA,.bz,"en-BZ,es",3582678
CAN,Ottawa,NA,.ca,"en-CA,fr-CA,iu",6251999
CCK,West Island,AS,.cc,"ms-CC,en",1547376
COD,Kinshasa,AF,.cd,"fr-CD,ln,ktu,kg,sw,lua",203312
CAF,Bangui,AF,.cf,"fr-CF,sg,ln,kg",239880
COG,Brazzaville,AF,.cg,"fr-CG,kg,ln-CG",2260494
CHE,Bern,EU,.ch,"de-CH,fr-CH,it-CH,rm",2658434
CIV,Yamoussoukro,AF,.ci,fr-CI,2287781
COK,Avarua,OC,.ck,"en-CK,mi",1899402
CHL,Santiago,SA,.cl,es-CL,3895114
CMR,Yaounde,AF,.cm,"en-CM,fr-CM",2233387
CHN,Beijing,AS,.cn,"zh-CN,yue,wuu,dta,ug,za",1814991
COL,Bogota,SA,.co,es-CO,3686110
CRI,San Jose,NA,.cr,"es-CR,en",3624060
CUB,Havana,NA,.cu,"es-CU,pap",3562981
CPV,Praia,AF,.cv,pt-CV,3374766
CUW, Willemstad,NA,.cw,"nl,pap",7626836
CXR,Flying Fish Cove,OC,.cx,"en,zh,ms-CX",2078138
CYP,Nicosia,EU,.cy,"el-CY,tr-CY,en",146669
CZE,Prague,EU,.cz,"cs,sk",3077311
